,layer,position,acc,f1
478,21,16,0.96,0.96
479,21,17,0.8,0.8000000000000002
480,21,18,0.68,0.68
481,21,19,0.94,0.94
482,21,20,0.94,0.94
483,21,21,1.0,1.0
484,22,0,0.52,0.52
485,22,1,0.6,0.6
486,22,2,0.6,0.6
487,22,3,0.6,0.6
488,22,4,0.6,0.6
489,22,5,1.0,1.0
490,22,6,1.0,1.0
491,22,7,1.0,1.0
492,22,8,1.0,1.0
493,22,9,1.0,1.0
494,22,10,1.0,1.0
495,22,11,1.0,1.0
496,22,12,1.0,1.0
497,22,13,0.58,0.58
498,22,14,0.94,0.94
499,22,15,0.94,0.94
500,22,16,0.96,0.96
501,22,17,0.8,0.8000000000000002
502,22,18,0.68,0.68
503,22,19,0.94,0.94
504,22,20,0.94,0.94
505,22,21,1.0,1.0
506,23,0,0.52,0.52
507,23,1,0.6,0.6
508,23,2,0.6,0.6
509,23,3,0.6,0.6
510,23,4,0.6,0.6
511,23,5,1.0,1.0
512,23,6,1.0,1.0
513,23,7,1.0,1.0
514,23,8,1.0,1.0
515,23,9,1.0,1.0
516,23,10,1.0,1.0
517,23,11,1.0,1.0
518,23,12,1.0,1.0
519,23,13,0.56,0.56
520,23,14,0.94,0.94
521,23,15,0.94,0.94
522,23,16,0.98,0.98
523,23,17,0.84,0.8399999999999999
524,23,18,0.76,0.76
525,23,19,0.96,0.96
526,23,20,0.96,0.96
527,23,21,0.98,0.98
